ID,Idioma,Nombre_Idioma,Texto_Original,Texto_Optimizado,Tokens_Original,Tokens_Optimizados,Similitud,Reduccion_Tokens,Pct_Reduccion,Cumple_Restriccion
17,eng_Latn,English,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,23,23,0.99999964,0,0.0,True
18,eng_Latn,English,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.","There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.",22,22,1.0,0,0.0,True
19,eng_Latn,English,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".",26,26,0.9999998,0,0.0,True
20,eng_Latn,English,Hsieh implied during the election that Ma might flee the country during a time of crisis.,Hsieh implied during the election that Ma might flee the country during a time of crisis.,19,19,1.0,0,0.0,True
21,eng_Latn,English,Hsieh also argued that the photogenic Ma was more style than substance.,Hsieh also argued that the photogenic Ma was more style than substance.,16,16,1.0000001,0,0.0,True
22,eng_Latn,English,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.","Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.",19,19,0.99999994,0,0.0,True
23,eng_Latn,English,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,17,17,1.0000001,0,0.0,True
24,eng_Latn,English,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,24,24,0.9999999,0,0.0,True
25,eng_Latn,English,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,23,23,1.0,0,0.0,True
26,eng_Latn,English,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.","his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.",51,51,1.0,0,0.0,True
27,eng_Latn,English,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,29,29,1.0,0,0.0,True
28,eng_Latn,English,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,27,27,0.9999999,0,0.0,True
29,eng_Latn,English,Iraq's Abu Ghraib prison has been set alight during a riot.,Iraq's Abu Ghraib prison has been set alight during a riot.,16,16,0.99999994,0,0.0,True
30,eng_Latn,English,The jail became notorious after prisoner abuse was discovered there after US forces took over.,The jail became notorious after prisoner abuse was discovered there after US forces took over.,16,16,1.0,0,0.0,True
31,eng_Latn,English,"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.","Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.",30,30,0.99999994,0,0.0,True
32,eng_Latn,English,"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.","As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.",24,24,1.0000001,0,0.0,True
33,eng_Latn,English,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,16,16,0.9999999,0,0.0,True
34,eng_Latn,English,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.","At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.",28,28,0.9999997,0,0.0,True
35,eng_Latn,English,Two beams of light have been rigged up to point skywards overnight.,Two beams of light have been rigged up to point skywards overnight.,14,14,1.0,0,0.0,True
36,eng_Latn,English,"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.","Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.",24,24,1.0,0,0.0,True
37,eng_Latn,English,"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.","The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.",28,28,0.99999976,0,0.0,True
38,eng_Latn,English,Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,23,23,1.0,0,0.0,True
39,eng_Latn,English,Each show would also provide recommendations for books that children should look for when they went to their library.,Each show would also provide recommendations for books that children should look for when they went to their library.,20,20,0.99999994,0,0.0,True
40,eng_Latn,English,"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""","John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""",44,44,0.99999994,0,0.0,True
41,eng_Latn,English,"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.","It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.",31,31,1.0000002,0,0.0,True
42,eng_Latn,English,"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.","The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.",35,35,1.0000001,0,0.0,True
43,eng_Latn,English,Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,22,22,1.0,0,0.0,True
44,eng_Latn,English,"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.","Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.",39,39,1.0,0,0.0,True
45,eng_Latn,English,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.","On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.",31,31,0.9999999,0,0.0,True
46,eng_Latn,English,"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.","250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.",29,29,1.0,0,0.0,True
47,eng_Latn,English,"Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.","Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.",37,37,0.9999999,0,0.0,True
48,eng_Latn,English,"Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.","Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.",29,29,1.0,0,0.0,True
49,eng_Latn,English,"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.","The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.",49,49,0.99999994,0,0.0,True
50,eng_Latn,English,"In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.","In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.",24,24,1.0,0,0.0,True
51,eng_Latn,English,"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.","In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.",45,45,1.0,0,0.0,True
52,eng_Latn,English,"The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.","The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.",36,36,0.9999999,0,0.0,True
53,eng_Latn,English,The hearing also marks the date for the suspect’s right to a speedy trial.,The hearing also marks the date for the suspect’s right to a speedy trial.,16,16,1.0,0,0.0,True
54,eng_Latn,English,"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.","Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.",33,33,0.9999999,0,0.0,True
55,eng_Latn,English,"Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.","Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.",19,19,0.9999999,0,0.0,True
56,eng_Latn,English,"""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.","""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.",29,29,0.99999976,0,0.0,True
57,eng_Latn,English,"According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.","According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.",29,29,0.9999999,0,0.0,True
58,eng_Latn,English,Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.,Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.,57,57,0.9999999,0,0.0,True
59,eng_Latn,English,"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""","These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""",47,47,1.0,0,0.0,True
60,eng_Latn,English,Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.,Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.,22,22,1.0,0,0.0,True
61,eng_Latn,English,"During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today"".","During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today"".",28,28,1.0000001,0,0.0,True
62,eng_Latn,English,"Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.","Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.",28,28,0.9999999,0,0.0,True
63,eng_Latn,English,"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.","The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.",27,27,1.0,0,0.0,True
64,eng_Latn,English,"The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.","The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.",35,35,0.99999994,0,0.0,True
65,eng_Latn,English,Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November.,Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November.,24,24,1.0,0,0.0,True
66,eng_Latn,English,"After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.","After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.",40,40,1.0,0,0.0,True
67,eng_Latn,English,"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.","When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.",37,37,1.0000002,0,0.0,True
68,eng_Latn,English,"Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.","Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.",47,47,0.9999999,0,0.0,True
69,eng_Latn,English,"The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.","The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.",30,30,1.0,0,0.0,True
70,eng_Latn,English,"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.","The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.",31,31,0.99999994,0,0.0,True
71,eng_Latn,English,"The famous Greek lawyers, Sakis Kechagioglou and George Nikolakopoulos have been imprisoned in the Athens' jail of Korydallus, as they were found guilty of graft and corruption.","The famous Greek lawyers, Sakis Kechagioglou and George Nikolakopoulos have been imprisoned in the Athens' jail of Korydallus, as they were found guilty of graft and corruption.",42,42,1.0,0,0.0,True
72,eng_Latn,English,"As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years.","As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years.",39,39,1.0,0,0.0,True
73,eng_Latn,English,"A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption.","A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption.",66,66,1.0000001,0,0.0,True
74,eng_Latn,English,"Moreover, top judge Evangelos Kalousis is imprisoned as he found guilty of corruption and degenerate behaviour.","Moreover, top judge Evangelos Kalousis is imprisoned as he found guilty of corruption and degenerate behaviour.",22,22,1.0000001,0,0.0,True
75,eng_Latn,English,"Roberts flatly refused to say about when he believes life begins, an important question when considering the ethics of abortion, saying that it would be unethical to comment on the specifics of likely cases.","Roberts flatly refused to say about when he believes life begins, an important question when considering the ethics of abortion, saying that it would be unethical to comment on the specifics of likely cases.",39,39,0.9999999,0,0.0,True
76,eng_Latn,English,"He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings.","He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings.",34,34,0.99999994,0,0.0,True
77,eng_Latn,English,He also confirmed that he believed in the implied right to privacy which the Roe decision depended upon.,He also confirmed that he believed in the implied right to privacy which the Roe decision depended upon.,19,19,0.9999999,0,0.0,True
78,eng_Latn,English,"Maroochydore had finished on top of the ladder, six points clear of Noosa in second.","Maroochydore had finished on top of the ladder, six points clear of Noosa in second.",22,22,1.0,0,0.0,True
79,eng_Latn,English,The two sides would meet in the major semi final where Noosa ran out winners by 11 points.,The two sides would meet in the major semi final where Noosa ran out winners by 11 points.,21,21,1.0,0,0.0,True
80,eng_Latn,English,Maroochydore then defeated Caboolture in the Preliminary Final.,Maroochydore then defeated Caboolture in the Preliminary Final.,16,16,0.9999999,0,0.0,True
81,eng_Latn,English,Hesperonychus elizabethae is a species of the family Dromaeosauridae and is a cousin of Velociraptor .,Hesperonychus elizabethae is a species of the family Dromaeosauridae and is a cousin of Velociraptor .,30,30,1.0,0,0.0,True
82,eng_Latn,English,"This fully feathered, warm blooded bird of prey was believed to have walked upright on two legs with claws like the Velociraptor.","This fully feathered, warm blooded bird of prey was believed to have walked upright on two legs with claws like the Velociraptor.",29,29,1.0000001,0,0.0,True
83,eng_Latn,English,"Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw.""","Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw.""",22,22,0.99999994,0,0.0,True
84,eng_Latn,English,"In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts.","In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts.",17,17,1.0,0,0.0,True
85,eng_Latn,English,Pittman suggested that conditions wouldn't improve until sometime next week.,Pittman suggested that conditions wouldn't improve until sometime next week.,14,14,1.0,0,0.0,True
86,eng_Latn,English,"The amount and thickness of the pack ice, according to Pittman, is the worst it has been for sealers in the past 15 years.","The amount and thickness of the pack ice, according to Pittman, is the worst it has been for sealers in the past 15 years.",30,30,0.99999994,0,0.0,True
87,eng_Latn,English,News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.,News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.,39,39,1.0,0,0.0,True
88,eng_Latn,English,Authorities said little officially beyond confirming today's arrest.,Authorities said little officially beyond confirming today's arrest.,10,10,0.99999994,0,0.0,True
89,eng_Latn,English,"However, a source with knowledge of the investigation told the Minneapolis Star-Tribune that it was Louis Jourdain, 16-year old son of Red Lake Tribal Chairman Floyd Jourdain.","However, a source with knowledge of the investigation told the Minneapolis Star-Tribune that it was Louis Jourdain, 16-year old son of Red Lake Tribal Chairman Floyd Jourdain.",39,39,0.9999999,0,0.0,True
90,eng_Latn,English,It is not known at this time what charges will be laid or what led authorities to the boy but juvenile proceedings have begun in federal court.,It is not known at this time what charges will be laid or what led authorities to the boy but juvenile proceedings have begun in federal court.,28,28,0.99999994,0,0.0,True
91,eng_Latn,English,Lodin also said officials decided to cancel the runoff in order to save Afghans the expense and security risk of another election.,Lodin also said officials decided to cancel the runoff in order to save Afghans the expense and security risk of another election.,27,27,0.9999999,0,0.0,True
92,eng_Latn,English,Diplomats said that they had found enough ambiguity in the Afghan constitution to determine the runoff as unnecessary.,Diplomats said that they had found enough ambiguity in the Afghan constitution to determine the runoff as unnecessary.,22,22,1.0000001,0,0.0,True
93,eng_Latn,English,"This contradicts earlier reports, which said that cancelling the runoff would have been against the constitution.","This contradicts earlier reports, which said that cancelling the runoff would have been against the constitution.",19,19,1.0,0,0.0,True
94,eng_Latn,English,The aircraft had been headed to Irkutsk and was being operated by interior troops.,The aircraft had been headed to Irkutsk and was being operated by interior troops.,18,18,1.0,0,0.0,True
95,eng_Latn,English,An inquiry was established to investigate.,An inquiry was established to investigate.,7,7,1.0,0,0.0,True
96,eng_Latn,English,"The Il-76 has been a major component of both the Russian and Soviet military since the 1970s, and had already seen a serious accident in Russia last month.","The Il-76 has been a major component of both the Russian and Soviet military since the 1970s, and had already seen a serious accident in Russia last month.",35,35,0.9999999,0,0.0,True
97,eng_Latn,English,"On October 7 an engine separated on takeoff, without injuries. Russia briefly grounded Il-76s after that accident.","On October 7 an engine separated on takeoff, without injuries. Russia briefly grounded Il-76s after that accident.",25,25,0.9999998,0,0.0,True
98,eng_Latn,English,"800 miles of the Trans-Alaska Pipeline System were closed down following a spill of thousands of barrels of crude oil south of Fairbanks, Alaska.","800 miles of the Trans-Alaska Pipeline System were closed down following a spill of thousands of barrels of crude oil south of Fairbanks, Alaska.",29,29,1.0,0,0.0,True
99,eng_Latn,English,A power failure following a routine fire-command system test caused relief valves to open and crude oil overflowed near the Fort Greely pump station 9.,A power failure following a routine fire-command system test caused relief valves to open and crude oil overflowed near the Fort Greely pump station 9.,30,30,1.0,0,0.0,True
100,eng_Latn,English,"The valves opening allowed a pressure release for the system and oil flowed on a pad to a tank that can hold 55,000 barrels (2.3 million gallons).","The valves opening allowed a pressure release for the system and oil flowed on a pad to a tank that can hold 55,000 barrels (2.3 million gallons).",34,34,0.9999999,0,0.0,True
101,eng_Latn,English,"As of Wednesday afternoon, the tank vents were still leaking probably from thermal expansion inside the tank.","As of Wednesday afternoon, the tank vents were still leaking probably from thermal expansion inside the tank.",19,19,0.99999994,0,0.0,True
102,eng_Latn,English,"Another secondary containment area below the tanks capable of holding 104,500 barrels was not yet filled to capacity.","Another secondary containment area below the tanks capable of holding 104,500 barrels was not yet filled to capacity.",22,22,0.9999999,0,0.0,True
103,eng_Latn,English,"The comments, live on television, were the first time that senior Iranian sources have admitted that the sanctions are having any effect.","The comments, live on television, were the first time that senior Iranian sources have admitted that the sanctions are having any effect.",25,25,1.0,0,0.0,True
104,eng_Latn,English,"They include financial restrictions and a ban by the European Union on the export of crude oil, from which the Iranian economy receives 80% of its foreign income.","They include financial restrictions and a ban by the European Union on the export of crude oil, from which the Iranian economy receives 80% of its foreign income.",32,32,1.0,0,0.0,True
105,eng_Latn,English,"In its most recent monthly report, OPEC said exports of crude had fallen to their lowest level for two decades at 2.8 million barrels per day.","In its most recent monthly report, OPEC said exports of crude had fallen to their lowest level for two decades at 2.8 million barrels per day.",32,32,0.9999999,0,0.0,True
106,eng_Latn,English,"The country's supreme leader, Ayatollah Ali Khamenei, has described the dependency on oil as ""a trap"" dating from before Iran's Islamic revolution in 1979 and from which the country should free itself.","The country's supreme leader, Ayatollah Ali Khamenei, has described the dependency on oil as ""a trap"" dating from before Iran's Islamic revolution in 1979 and from which the country should free itself.",46,46,1.0,0,0.0,True
107,eng_Latn,English,"When the capsule gets to Earth and enters the atmosphere, at about 5am (eastern time), it is expected to put on quite a light show for folks in Northern California, Oregon, Nevada, and Utah.","When the capsule gets to Earth and enters the atmosphere, at about 5am (eastern time), it is expected to put on quite a light show for folks in Northern California, Oregon, Nevada, and Utah.",44,44,1.0,0,0.0,True
108,eng_Latn,English,The capsule will look much like a shooting star going across the sky.,The capsule will look much like a shooting star going across the sky.,14,14,0.9999999,0,0.0,True
109,eng_Latn,English,"The capsule will be traveling at about 12.8 km or 8 miles per second, fast enough to go from San Francisco to Los Angeles in one minute.","The capsule will be traveling at about 12.8 km or 8 miles per second, fast enough to go from San Francisco to Los Angeles in one minute.",33,33,1.0,0,0.0,True
110,eng_Latn,English,"Stardust will set a new all-time record for being the fastest spacecraft to return to Earth, breaking the previous record set in May of 1969 during the return of the Apollo X command module.","Stardust will set a new all-time record for being the fastest spacecraft to return to Earth, breaking the previous record set in May of 1969 during the return of the Apollo X command module.",41,41,0.99999994,0,0.0,True
111,eng_Latn,English,"“It will move over the west coast of northern California and will light the sky from California through central Oregon and on through Nevada and Idaho and into Utah,” Tom Duxbury, Stardust's project manager said.","“It will move over the west coast of northern California and will light the sky from California through central Oregon and on through Nevada and Idaho and into Utah,” Tom Duxbury, Stardust's project manager said.",42,42,1.0,0,0.0,True
112,eng_Latn,English,"Mr. Rudd's decision to sign the Kyoto climate accord isolates the United States, which will now be the only developed nation not to ratify the agreement.","Mr. Rudd's decision to sign the Kyoto climate accord isolates the United States, which will now be the only developed nation not to ratify the agreement.",32,32,0.99999994,0,0.0,True
