ID,Idioma,Nombre_Idioma,Texto,Split,Tokens,Caracteres,Palabras,Tokens_por_palabra,Tokens_por_caracter,Tokens_English,IDTL
17,eng_Latn,English,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,dev,23,134,20,1.15,0.17164179104477612,23,1.0
18,eng_Latn,English,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.",dev,22,135,19,1.1578947368421053,0.16296296296296298,22,1.0
19,eng_Latn,English,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".",dev,26,134,23,1.1304347826086956,0.19402985074626866,26,1.0
20,eng_Latn,English,Hsieh implied during the election that Ma might flee the country during a time of crisis.,dev,19,89,16,1.1875,0.21348314606741572,19,1.0
21,eng_Latn,English,Hsieh also argued that the photogenic Ma was more style than substance.,dev,16,71,12,1.3333333333333333,0.22535211267605634,16,1.0
22,eng_Latn,English,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.",dev,19,105,16,1.1875,0.18095238095238095,19,1.0
23,eng_Latn,English,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,dev,17,70,12,1.4166666666666667,0.24285714285714285,17,1.0
24,eng_Latn,English,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,dev,24,80,15,1.6,0.3,24,1.0
25,eng_Latn,English,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,dev,23,94,15,1.5333333333333334,0.24468085106382978,23,1.0
26,eng_Latn,English,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.",dev,51,200,37,1.3783783783783783,0.255,51,1.0
27,eng_Latn,English,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,dev,29,105,18,1.6111111111111112,0.2761904761904762,29,1.0
28,eng_Latn,English,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,dev,27,135,24,1.125,0.2,27,1.0
29,eng_Latn,English,Iraq's Abu Ghraib prison has been set alight during a riot.,dev,16,59,11,1.4545454545454546,0.2711864406779661,16,1.0
30,eng_Latn,English,The jail became notorious after prisoner abuse was discovered there after US forces took over.,dev,16,94,15,1.0666666666666667,0.1702127659574468,16,1.0
31,eng_Latn,English,"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.",dev,30,130,23,1.3043478260869565,0.23076923076923078,30,1.0
32,eng_Latn,English,"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.",dev,24,104,22,1.0909090909090908,0.23076923076923078,24,1.0
33,eng_Latn,English,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,dev,16,58,10,1.6,0.27586206896551724,16,1.0
34,eng_Latn,English,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.",dev,28,107,20,1.4,0.2616822429906542,28,1.0
35,eng_Latn,English,Two beams of light have been rigged up to point skywards overnight.,dev,14,67,12,1.1666666666666667,0.208955223880597,14,1.0
36,eng_Latn,English,"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.",dev,24,123,20,1.2,0.1951219512195122,24,1.0
37,eng_Latn,English,"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.",dev,28,129,22,1.2727272727272727,0.21705426356589147,28,1.0
38,eng_Latn,English,Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,dev,23,120,22,1.0454545454545454,0.19166666666666668,23,1.0
39,eng_Latn,English,Each show would also provide recommendations for books that children should look for when they went to their library.,dev,20,117,19,1.0526315789473684,0.17094017094017094,20,1.0
40,eng_Latn,English,"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""",dev,44,193,34,1.2941176470588236,0.22797927461139897,44,1.0
41,eng_Latn,English,"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.",dev,31,176,28,1.1071428571428572,0.17613636363636365,31,1.0
42,eng_Latn,English,"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.",dev,35,152,25,1.4,0.23026315789473684,35,1.0
43,eng_Latn,English,Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,dev,22,94,17,1.2941176470588236,0.23404255319148937,22,1.0
44,eng_Latn,English,"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.",dev,39,188,33,1.1818181818181819,0.2074468085106383,39,1.0
45,eng_Latn,English,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.",dev,31,115,20,1.55,0.26956521739130435,31,1.0
46,eng_Latn,English,"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.",dev,29,119,20,1.45,0.24369747899159663,29,1.0
47,eng_Latn,English,"Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.",dev,37,162,25,1.48,0.22839506172839505,37,1.0
48,eng_Latn,English,"Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.",dev,29,117,21,1.380952380952381,0.24786324786324787,29,1.0
49,eng_Latn,English,"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.",dev,49,223,44,1.1136363636363635,0.21973094170403587,49,1.0
50,eng_Latn,English,"In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.",dev,24,119,19,1.263157894736842,0.20168067226890757,24,1.0
51,eng_Latn,English,"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.",dev,45,225,40,1.125,0.2,45,1.0
52,eng_Latn,English,"The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.",dev,36,187,30,1.2,0.1925133689839572,36,1.0
53,eng_Latn,English,The hearing also marks the date for the suspect’s right to a speedy trial.,dev,16,74,14,1.1428571428571428,0.21621621621621623,16,1.0
54,eng_Latn,English,"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.",dev,33,191,30,1.1,0.17277486910994763,33,1.0
55,eng_Latn,English,"Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.",dev,19,113,16,1.1875,0.168141592920354,19,1.0
56,eng_Latn,English,"""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.",dev,29,125,20,1.45,0.232,29,1.0
57,eng_Latn,English,"According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.",dev,29,127,21,1.380952380952381,0.2283464566929134,29,1.0
58,eng_Latn,English,Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.,dev,57,288,47,1.2127659574468086,0.19791666666666666,57,1.0
59,eng_Latn,English,"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""",dev,47,196,34,1.3823529411764706,0.23979591836734693,47,1.0
60,eng_Latn,English,Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.,dev,22,113,21,1.0476190476190477,0.19469026548672566,22,1.0
61,eng_Latn,English,"During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today"".",dev,28,121,23,1.2173913043478262,0.23140495867768596,28,1.0
62,eng_Latn,English,"Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.",dev,28,163,25,1.12,0.17177914110429449,28,1.0
63,eng_Latn,English,"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.",dev,27,142,24,1.125,0.19014084507042253,27,1.0
64,eng_Latn,English,"The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.",dev,35,163,27,1.2962962962962963,0.2147239263803681,35,1.0
65,eng_Latn,English,Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November.,dev,24,112,18,1.3333333333333333,0.21428571428571427,24,1.0
66,eng_Latn,English,"After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.",dev,40,196,36,1.1111111111111112,0.20408163265306123,40,1.0
67,eng_Latn,English,"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.",dev,37,199,33,1.121212121212121,0.18592964824120603,37,1.0
68,eng_Latn,English,"Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.",dev,47,243,41,1.146341463414634,0.1934156378600823,47,1.0
69,eng_Latn,English,"The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.",dev,30,128,23,1.3043478260869565,0.234375,30,1.0
70,eng_Latn,English,"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.",dev,31,156,25,1.24,0.1987179487179487,31,1.0
71,eng_Latn,English,"The famous Greek lawyers, Sakis Kechagioglou and George Nikolakopoulos have been imprisoned in the Athens' jail of Korydallus, as they were found guilty of graft and corruption.",dev,42,177,27,1.5555555555555556,0.23728813559322035,42,1.0
72,eng_Latn,English,"As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years.",dev,39,207,34,1.1470588235294117,0.18840579710144928,39,1.0
73,eng_Latn,English,"A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption.",dev,66,290,45,1.4666666666666666,0.22758620689655173,66,1.0
74,eng_Latn,English,"Moreover, top judge Evangelos Kalousis is imprisoned as he found guilty of corruption and degenerate behaviour.",dev,22,111,16,1.375,0.1981981981981982,22,1.0
75,eng_Latn,English,"Roberts flatly refused to say about when he believes life begins, an important question when considering the ethics of abortion, saying that it would be unethical to comment on the specifics of likely cases.",dev,39,207,34,1.1470588235294117,0.18840579710144928,39,1.0
76,eng_Latn,English,"He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings.",dev,34,164,26,1.3076923076923077,0.2073170731707317,34,1.0
77,eng_Latn,English,He also confirmed that he believed in the implied right to privacy which the Roe decision depended upon.,dev,19,104,18,1.0555555555555556,0.18269230769230768,19,1.0
78,eng_Latn,English,"Maroochydore had finished on top of the ladder, six points clear of Noosa in second.",dev,22,84,15,1.4666666666666666,0.2619047619047619,22,1.0
79,eng_Latn,English,The two sides would meet in the major semi final where Noosa ran out winners by 11 points.,dev,21,90,18,1.1666666666666667,0.23333333333333334,21,1.0
80,eng_Latn,English,Maroochydore then defeated Caboolture in the Preliminary Final.,dev,16,63,8,2.0,0.25396825396825395,16,1.0
81,eng_Latn,English,Hesperonychus elizabethae is a species of the family Dromaeosauridae and is a cousin of Velociraptor .,dev,30,102,16,1.875,0.29411764705882354,30,1.0
82,eng_Latn,English,"This fully feathered, warm blooded bird of prey was believed to have walked upright on two legs with claws like the Velociraptor.",dev,29,129,22,1.3181818181818181,0.2248062015503876,29,1.0
83,eng_Latn,English,"Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw.""",dev,22,93,15,1.4666666666666666,0.23655913978494625,22,1.0
84,eng_Latn,English,"In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts.",dev,17,95,14,1.2142857142857142,0.17894736842105263,17,1.0
85,eng_Latn,English,Pittman suggested that conditions wouldn't improve until sometime next week.,dev,14,76,10,1.4,0.18421052631578946,14,1.0
86,eng_Latn,English,"The amount and thickness of the pack ice, according to Pittman, is the worst it has been for sealers in the past 15 years.",dev,30,122,24,1.25,0.2459016393442623,30,1.0
87,eng_Latn,English,News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.,dev,39,197,35,1.1142857142857143,0.19796954314720813,39,1.0
88,eng_Latn,English,Authorities said little officially beyond confirming today's arrest.,dev,10,68,8,1.25,0.14705882352941177,10,1.0
89,eng_Latn,English,"However, a source with knowledge of the investigation told the Minneapolis Star-Tribune that it was Louis Jourdain, 16-year old son of Red Lake Tribal Chairman Floyd Jourdain.",dev,39,175,27,1.4444444444444444,0.22285714285714286,39,1.0
90,eng_Latn,English,It is not known at this time what charges will be laid or what led authorities to the boy but juvenile proceedings have begun in federal court.,dev,28,143,27,1.037037037037037,0.1958041958041958,28,1.0
91,eng_Latn,English,Lodin also said officials decided to cancel the runoff in order to save Afghans the expense and security risk of another election.,dev,27,130,22,1.2272727272727273,0.2076923076923077,27,1.0
92,eng_Latn,English,Diplomats said that they had found enough ambiguity in the Afghan constitution to determine the runoff as unnecessary.,dev,22,118,18,1.2222222222222223,0.1864406779661017,22,1.0
93,eng_Latn,English,"This contradicts earlier reports, which said that cancelling the runoff would have been against the constitution.",dev,19,113,16,1.1875,0.168141592920354,19,1.0
94,eng_Latn,English,The aircraft had been headed to Irkutsk and was being operated by interior troops.,dev,18,82,14,1.2857142857142858,0.21951219512195122,18,1.0
95,eng_Latn,English,An inquiry was established to investigate.,dev,7,42,6,1.1666666666666667,0.16666666666666666,7,1.0
96,eng_Latn,English,"The Il-76 has been a major component of both the Russian and Soviet military since the 1970s, and had already seen a serious accident in Russia last month.",dev,35,155,28,1.25,0.22580645161290322,35,1.0
97,eng_Latn,English,"On October 7 an engine separated on takeoff, without injuries. Russia briefly grounded Il-76s after that accident.",dev,25,114,17,1.4705882352941178,0.21929824561403508,25,1.0
98,eng_Latn,English,"800 miles of the Trans-Alaska Pipeline System were closed down following a spill of thousands of barrels of crude oil south of Fairbanks, Alaska.",dev,29,145,24,1.2083333333333333,0.2,29,1.0
99,eng_Latn,English,A power failure following a routine fire-command system test caused relief valves to open and crude oil overflowed near the Fort Greely pump station 9.,dev,30,151,25,1.2,0.1986754966887417,30,1.0
100,eng_Latn,English,"The valves opening allowed a pressure release for the system and oil flowed on a pad to a tank that can hold 55,000 barrels (2.3 million gallons).",dev,34,146,27,1.2592592592592593,0.2328767123287671,34,1.0
101,eng_Latn,English,"As of Wednesday afternoon, the tank vents were still leaking probably from thermal expansion inside the tank.",dev,19,109,17,1.1176470588235294,0.1743119266055046,19,1.0
102,eng_Latn,English,"Another secondary containment area below the tanks capable of holding 104,500 barrels was not yet filled to capacity.",dev,22,117,18,1.2222222222222223,0.18803418803418803,22,1.0
103,eng_Latn,English,"The comments, live on television, were the first time that senior Iranian sources have admitted that the sanctions are having any effect.",dev,25,137,22,1.1363636363636365,0.18248175182481752,25,1.0
104,eng_Latn,English,"They include financial restrictions and a ban by the European Union on the export of crude oil, from which the Iranian economy receives 80% of its foreign income.",dev,32,162,28,1.1428571428571428,0.19753086419753085,32,1.0
105,eng_Latn,English,"In its most recent monthly report, OPEC said exports of crude had fallen to their lowest level for two decades at 2.8 million barrels per day.",dev,32,142,26,1.2307692307692308,0.22535211267605634,32,1.0
106,eng_Latn,English,"The country's supreme leader, Ayatollah Ali Khamenei, has described the dependency on oil as ""a trap"" dating from before Iran's Islamic revolution in 1979 and from which the country should free itself.",dev,46,201,32,1.4375,0.22885572139303484,46,1.0
107,eng_Latn,English,"When the capsule gets to Earth and enters the atmosphere, at about 5am (eastern time), it is expected to put on quite a light show for folks in Northern California, Oregon, Nevada, and Utah.",dev,44,190,34,1.2941176470588236,0.23157894736842105,44,1.0
108,eng_Latn,English,The capsule will look much like a shooting star going across the sky.,dev,14,69,13,1.0769230769230769,0.2028985507246377,14,1.0
109,eng_Latn,English,"The capsule will be traveling at about 12.8 km or 8 miles per second, fast enough to go from San Francisco to Los Angeles in one minute.",dev,33,136,27,1.2222222222222223,0.2426470588235294,33,1.0
110,eng_Latn,English,"Stardust will set a new all-time record for being the fastest spacecraft to return to Earth, breaking the previous record set in May of 1969 during the return of the Apollo X command module.",dev,41,190,34,1.2058823529411764,0.21578947368421053,41,1.0
111,eng_Latn,English,"“It will move over the west coast of northern California and will light the sky from California through central Oregon and on through Nevada and Idaho and into Utah,” Tom Duxbury, Stardust's project manager said.",dev,42,212,35,1.2,0.19811320754716982,42,1.0
112,eng_Latn,English,"Mr. Rudd's decision to sign the Kyoto climate accord isolates the United States, which will now be the only developed nation not to ratify the agreement.",dev,32,153,26,1.2307692307692308,0.20915032679738563,32,1.0
113,eng_Latn,English,"Australia's former conservative government refused to ratify Kyoto, saying it would damage the economy with its heavy reliance on coal exports, while countries like India and China were not bound by emissions targets.",dev,38,217,33,1.1515151515151516,0.17511520737327188,38,1.0
114,eng_Latn,English,It is the biggest acquisition in eBay's history.,dev,10,48,8,1.25,0.20833333333333334,10,1.0
115,eng_Latn,English,"The company hopes to diversify its profit sources and gain popularity in areas where Skype holds a strong position, such as China, Eastern Europe, and Brazil.",dev,31,158,26,1.1923076923076923,0.1962025316455696,31,1.0
116,eng_Latn,English,Scientists have suspected Enceladus as geologically active and a possible source of Saturn's icy E ring.,dev,22,104,16,1.375,0.21153846153846154,22,1.0
117,eng_Latn,English,"Enceladus is the most reflective object in the solar system, reflecting about 90 percent of the sunlight that hits it.",dev,26,118,20,1.3,0.22033898305084745,26,1.0
118,eng_Latn,English,The game publisher Konami stated today in a Japanese newspaper that they will not be releasing the game Six Days in Fallujah.,dev,26,125,22,1.1818181818181819,0.208,26,1.0
119,eng_Latn,English,"The game is based on the Second Battle of Fallujah, a vicious battle between American and Iraqi forces.",dev,22,103,18,1.2222222222222223,0.21359223300970873,22,1.0
120,eng_Latn,English,"The ACMA also found that despite the video being streamed on the Internet, Big Brother had not breached online content censorship laws as the media had not been stored on Big Brother's website.",dev,37,193,33,1.121212121212121,0.19170984455958548,37,1.0
121,eng_Latn,English,"The Broadcasting Services Act provides for the regulation of Internet content, however to be considered Internet content, it must physically reside on a server.",dev,27,160,24,1.125,0.16875,27,1.0
122,eng_Latn,English,"The United States embassy located in Nairobi, Kenya has issued a warning that ""extremists from Somalia"" are planning to launch suicide bomb attacks in Kenya and Ethiopia.",dev,33,170,27,1.2222222222222223,0.19411764705882353,33,1.0
123,eng_Latn,English,"The U.S. says it has received information from an undisclosed source that specifically mentions the use of suicide bombers to will blow up ""prominent landmarks"" in Ethiopia and Kenya.",dev,35,183,29,1.206896551724138,0.1912568306010929,35,1.0
124,eng_Latn,English,"Long before The Daily Show and The Colbert Report, Heck and Johnson envisioned a publication that would parody the news—and news reporting—when they were students at UW in 1988.",dev,36,177,29,1.2413793103448276,0.2033898305084746,36,1.0
125,eng_Latn,English,"Since its inception, The Onion has become a veritable news parody empire, with a print edition, a website that drew 5,000,000 unique visitors in the month of October, personal ads, a 24 hour news network, podcasts, and a recently launched world atlas called Our Dumb World.",dev,62,273,46,1.3478260869565217,0.2271062271062271,62,1.0
126,eng_Latn,English,Al Gore and General Tommy Franks casually rattle off their favorite headlines (Gore's was when The Onion reported he and Tipper were having the best sex of their lives after his 2000 Electoral College defeat).,dev,44,209,35,1.2571428571428571,0.21052631578947367,44,1.0
127,eng_Latn,English,Many of their writers have gone on to wield great influence on Jon Stewart and Stephen Colbert's news parody shows.,dev,22,115,20,1.1,0.19130434782608696,22,1.0
128,eng_Latn,English,The artistic event is also part of a campaign by the Bucharest City Hall that seeks to relaunch the image of the Romanian capital as a creative and colourful metropolis.,dev,34,169,30,1.1333333333333333,0.20118343195266272,34,1.0
129,eng_Latn,English,"The city will be the first in southeastern Europe to host CowParade, the world's largest public art event, between June and August this year.",dev,30,141,24,1.25,0.2127659574468085,30,1.0
130,eng_Latn,English,Today's announcement also extended the government's commitment made in March of this year to fund extra carriages.,dev,21,114,17,1.2352941176470589,0.18421052631578946,21,1.0
131,eng_Latn,English,"An additional 300 brings the total to 1,300 carriages to be acquired to relieve overcrowding.",dev,22,93,15,1.4666666666666666,0.23655913978494625,22,1.0
132,eng_Latn,English,"Christopher Garcia, a spokesperson of the Los Angeles Police Department, said the suspected male offender is being investigated for trespassing rather than vandalism.",dev,27,166,23,1.173913043478261,0.16265060240963855,27,1.0
133,eng_Latn,English,"The sign was not physically damaged; the modification was done using black tarpaulins decorated with signs of peace and heart to alter the ""O"" to read lowercase ""e"".",dev,36,165,28,1.2857142857142858,0.21818181818181817,36,1.0
134,eng_Latn,English,"Red tide is caused by a higher than normal concentration of Karenia brevis, a naturally-occurring single-celled marine organism.",dev,27,128,18,1.5,0.2109375,27,1.0
135,eng_Latn,English,"Natural factors can intersect to produce ideal conditions, allowing this algae to increase in number dramatically.",dev,18,114,16,1.125,0.15789473684210525,18,1.0
136,eng_Latn,English,The algae produces a neurotoxin that can disable nerves in both humans and fish.,dev,17,80,14,1.2142857142857142,0.2125,17,1.0
137,eng_Latn,English,Fish often die because of the high concentrations of the toxin in the waters.,dev,15,77,14,1.0714285714285714,0.19480519480519481,15,1.0
138,eng_Latn,English,Humans can be affected by breathing affected water taken into the air by wind and waves.,dev,17,88,16,1.0625,0.19318181818181818,17,1.0
139,eng_Latn,English,"At its peak, Tropical Cyclone Gonu, named for a bag of palm leaves in the language of the Maldives, reached sustained winds of 240 kilometers an hour (149 miles per hour) .",dev,41,172,32,1.28125,0.23837209302325582,41,1.0
140,eng_Latn,English,"By early today, winds were around 83 km/h, and it was expect to keep weakening.",dev,20,79,15,1.3333333333333333,0.25316455696202533,20,1.0
141,eng_Latn,English,"On Wednesday, the United States' National Basketball Association (NBA) suspended its professional basketball season due to concerns regarding COVID-19.",dev,27,151,19,1.4210526315789473,0.17880794701986755,27,1.0
142,eng_Latn,English,The NBA's decision followed a Utah Jazz player testing positive for the COVID-19 virus.,dev,18,87,14,1.2857142857142858,0.20689655172413793,18,1.0
143,eng_Latn,English,"""Based on this fossil, that means the split is much earlier than has been anticipated by the molecular evidence.",dev,22,112,19,1.1578947368421053,0.19642857142857142,22,1.0
144,eng_Latn,English,"That means everything has to be put back,"" said researcher at the Rift Valley Research Service in Ethiopia and a co-author of the study, Berhane Asfaw.",dev,34,151,26,1.3076923076923077,0.2251655629139073,34,1.0
145,eng_Latn,English,"Until now, AOL has been able to move and develop the IM market at its own pace, due to its widespread use within the United States.",dev,29,131,26,1.1153846153846154,0.22137404580152673,29,1.0
146,eng_Latn,English,"With this arrangement in place, this freedom might end.",dev,11,55,9,1.2222222222222223,0.2,11,1.0
147,eng_Latn,English,The number of users of the Yahoo! and Microsoft services combined will rival the number of AOL's customers.,dev,21,107,18,1.1666666666666667,0.19626168224299065,21,1.0
148,eng_Latn,English,The Northern Rock bank had been nationalised in 2008 following the revelation that the company had received emergency support from the UK Government.,dev,27,149,23,1.173913043478261,0.18120805369127516,27,1.0
149,eng_Latn,English,Northern Rock had required support due to its exposure during the subprime mortgage crisis in 2007.,dev,20,99,16,1.25,0.20202020202020202,20,1.0
150,eng_Latn,English,Sir Richard Branson's Virgin Group had a bid for the bank rejected prior to the bank’s nationalisation.,dev,22,103,17,1.2941176470588236,0.21359223300970873,22,1.0
151,eng_Latn,English,"In 2010, while nationalised, the current high street bank Northern Rock plc was split from the ‘bad bank’, Northern Rock (Asset Management).",dev,31,140,22,1.4090909090909092,0.22142857142857142,31,1.0
152,eng_Latn,English,"Virgin have only purchased the ‘good bank’ of Northern Rock, not the asset management company.",dev,19,94,15,1.2666666666666666,0.20212765957446807,19,1.0
153,eng_Latn,English,This is believed to be the fifth time in history that people have observed what turned out to be chemically confirmed martian material falling to Earth.,dev,29,152,26,1.1153846153846154,0.19078947368421054,29,1.0
154,eng_Latn,English,"Out of the approximately 24,000 known meteorites to have fallen to Earth, only about 34 have been verified to be martian in origin.",dev,31,131,23,1.3478260869565217,0.2366412213740458,31,1.0
155,eng_Latn,English,Fifteen of these rocks are attributed to the meteorite shower last July.,dev,16,72,12,1.3333333333333333,0.2222222222222222,16,1.0
